stem,day,lvl,before,after,sat,amp_med,err
20260724_223756,20260724,132.3,1.711,0.559,2,2.523,
20260724_224321,20260724,138.7,8.141,4.09,2,3.562,
20260724_224848,20260724,135.0,4.458,1.45,2,3.481,
20260724_225418,20260724,139.0,8.284,3.309,2,3.562,
20260724_225944,20260724,142.3,5.966,2.002,2,3.562,
20260724_230511,20260724,130.3,2.587,1.092,0,3.562,
20260724_231036,20260724,132.0,2.457,0.622,2,3.432,
20260724_231439,20260724,130.0,15.761,11.304,2,3.562,
20260724_231724,20260724,131.7,7.686,2.946,2,3.562,
20260724_232008,20260724,138.7,6.845,2.337,2,3.562,
20260724_232252,20260724,142.7,7.934,4.085,2,3.562,
20260724_232537,20260724,143.0,6.804,2.439,2,3.562,
20260724_232821,20260724,136.7,3.94,1.9,2,3.181,
20260724_233105,20260724,131.0,6.658,2.962,2,3.562,
20260724_233350,20260724,128.7,6.15,1.594,2,3.562,
20260724_233634,20260724,127.7,4.201,1.022,2,3.537,
20260724_233918,20260724,132.7,3.203,1.394,2,3.361,
20260724_234203,20260724,138.3,4.307,1.345,2,3.562,
20260724_234447,20260724,141.0,4.426,1.103,2,3.562,
20260724_234751,20260724,141.0,7.41,2.967,2,3.562,
20260724_235035,20260724,142.3,2.871,0.699,2,3.338,
20260724_235320,20260724,141.0,2.981,0.554,2,2.805,
20260724_235604,20260724,137.7,1.466,0.43,2,2.728,
20260724_235848,20260724,133.7,3.697,1.113,2,3.562,
20260725_000133,20260725,130.0,5.979,0.697,2,3.594,
20260725_000417,20260725,128.3,6.91,1.969,2,3.594,
20260725_000701,20260725,128.0,4.855,1.088,2,3.594,
20260725_000945,20260725,128.3,3.784,0.265,2,3.594,
20260725_001230,20260725,131.3,4.914,0.647,2,3.391,
20260725_001514,20260725,137.7,6.267,1.131,2,3.313,
20260725_001759,20260725,140.7,6.248,0.534,2,3.489,
20260725_002043,20260725,138.0,9.211,2.169,2,3.594,
20260725_002328,20260725,135.7,3.358,0.955,2,2.841,
20260725_002612,20260725,135.0,5.211,0.985,2,3.443,
20260725_002856,20260725,133.3,3.924,0.209,2,3.341,
20260725_003141,20260725,133.0,6.687,1.334,2,3.594,
20260725_003425,20260725,131.3,5.441,1.107,2,3.594,
20260725_003710,20260725,127.3,0.892,-0.671,2,3.313,
20260725_003954,20260725,122.3,2.938,-0.189,1,3.594,
20260725_004239,20260725,111.3,0.02,-1.206,1,3.143,
20260725_004632,20260725,87.7,6.202,2.025,0,3.932,
20260725_004917,20260725,78.7,7.022,2.458,0,3.932,
20260725_005201,20260725,58.0,2.588,1.14,0,3.58,
20260725_005446,20260725,42.3,4.902,2.122,0,3.932,
20260725_005731,20260725,30.0,4.185,2.034,0,3.932,
20260725_010015,20260725,18.7,9.406,6.521,0,3.932,
20260725_010158,20260725,14.3,11.318,8.067,0,3.932,
20260725_010722,20260725,2.3,-4.747,-5.184,0,3.724,
20260725_011325,20260725,0.0,11.868,11.867,0,3.932,
20260725_011849,20260725,0.0,nan,nan,0,3.932,
20260725_012413,20260725,0.0,nan,nan,0,3.932,
20260725_012944,20260725,0.0,nan,nan,0,3.932,
20260725_013508,20260725,0.0,nan,nan,0,3.932,
20260725_091901,20260725,0.0,nan,nan,0,3.932,
20260725_092430,20260725,0.0,nan,nan,0,3.932,
20260725_092953,20260725,0.0,nan,nan,0,3.932,
20260725_093519,20260725,0.0,nan,nan,0,3.932,
20260725_094041,20260725,0.0,nan,nan,0,3.932,
20260725_094605,20260725,0.0,9.712,9.712,0,3.932,
20260725_095131,20260725,4.0,35.034,33.598,0,3.932,
20260725_095351,20260725,8.3,10.921,8.32,0,3.932,
20260725_095636,20260725,18.7,-9.073,-9.079,0,2.685,
20260725_095920,20260725,34.0,-2.073,-2.74,0,3.553,
20260725_100205,20260725,44.0,7.68,4.62,0,3.932,
20260725_100449,20260725,56.7,8.272,4.551,0,3.932,
20260725_100747,20260725,71.7,7.622,4.526,0,3.932,
20260725_101031,20260725,86.7,5.482,2.713,0,3.932,
20260725_101316,20260725,87.0,7.41,3.81,0,3.932,
20260725_101600,20260725,81.3,8.768,5.109,0,3.932,
20260725_101845,20260725,84.7,3.762,0.981,0,3.932,
20260725_102129,20260725,91.0,5.246,2.906,0,3.932,
20260725_102414,20260725,94.3,5.988,2.337,0,3.932,
20260725_102658,20260725,97.7,4.419,0.67,0,3.932,
20260725_102943,20260725,105.3,5.135,2.27,0,3.932,
20260725_103227,20260725,109.0,5.01,2.221,0,3.932,
20260725_103512,20260725,109.7,2.651,1.051,0,3.696,
20260725_103756,20260725,113.7,6.762,1.538,0,3.932,
20260725_104041,20260725,122.0,6.306,2.038,0,3.932,
20260725_104325,20260725,122.7,7.791,2.557,0,3.932,
20260725_104610,20260725,122.7,5.128,0.701,1,3.662,
20260725_104854,20260725,122.0,4.895,1.566,1,3.58,
20260725_105139,20260725,122.7,4.883,2.583,1,3.58,
20260725_105423,20260725,124.0,3.607,1.386,1,3.528,
20260725_105707,20260725,127.3,-0.325,-0.709,2,2.075,
20260725_105952,20260725,121.7,6.51,3.34,2,3.594,
20260725_110236,20260725,119.0,5.593,1.653,2,3.594,
20260725_110536,20260725,121.0,5.354,1.659,2,3.594,
20260725_110820,20260725,125.3,-2.406,-2.396,2,2.45,
20260725_111104,20260725,127.3,4.589,0.842,2,3.594,
20260725_111349,20260725,134.3,2.167,0.636,2,2.833,
20260725_111633,20260725,138.3,6.171,0.521,2,3.594,
20260725_111917,20260725,141.0,3.774,1.095,3,2.676,
20260725_112201,20260725,143.0,3.208,0.811,3,3.139,
20260725_112446,20260725,143.3,3.597,1.054,3,3.268,
20260725_112730,20260725,143.3,4.738,1.7,3,3.455,
20260725_113014,20260725,145.0,4.943,1.559,3,3.594,
20260725_113258,20260725,145.0,2.577,0.768,3,2.985,
20260725_113543,20260725,143.0,7.172,2.315,3,3.594,
20260725_113827,20260725,135.7,6.173,1.779,3,3.594,
20260725_114157,20260725,138.0,3.782,0.641,2,3.438,
20260725_114723,20260725,142.0,-5.011,-5.014,3,2.622,
20260725_115249,20260725,135.3,7.13,1.505,2,3.594,
20260725_115817,20260725,128.0,8.496,3.272,2,3.594,
20260725_120342,20260725,141.7,5.193,1.48,2,3.594,
20260725_120909,20260725,147.0,5.379,1.458,2,3.562,
20260725_121437,20260725,156.7,5.22,1.548,2,3.236,
20260725_122004,20260725,153.3,4.111,0.92,3,3.37,
20260725_122530,20260725,143.0,4.613,0.846,5,3.014,
20260725_123058,20260725,138.3,4.405,0.538,2,3.381,
20260725_123623,20260725,133.3,6.396,1.012,2,3.594,
20260725_124149,20260725,125.7,5.548,1.522,2,3.594,
20260725_124717,20260725,133.7,6.941,1.801,2,3.594,
20260725_125243,20260725,134.3,2.482,0.124,2,3.073,
20260725_125809,20260725,120.3,3.428,0.325,1,3.134,
20260725_130337,20260725,123.0,5.387,1.182,2,3.594,
20260725_130904,20260725,122.0,5.724,1.165,2,3.594,
20260725_131430,20260725,136.3,2.145,0.234,2,3.298,
20260725_131958,20260725,140.7,4.218,0.503,2,3.36,
20260725_132524,20260725,154.3,0.995,-0.436,3,1.812,
20260725_133049,20260725,162.0,1.361,0.447,4,2.321,
20260725_133616,20260725,153.0,5.046,1.213,2,3.594,
20260725_134142,20260725,149.3,4.098,1.351,2,3.215,
20260725_134707,20260725,145.7,9.507,3.498,2,3.594,
20260725_135236,20260725,140.0,5.513,1.158,2,3.594,
20260725_135801,20260725,150.3,9.946,4.35,2,3.594,
20260725_140326,20260725,159.3,6.139,1.271,2,3.594,
20260725_140856,20260725,161.0,1.363,-0.458,2,2.825,
20260725_141423,20260725,164.7,8.073,2.305,2,3.594,
20260725_141950,20260725,154.3,13.576,7.342,2,3.594,
20260725_142603,20260725,151.0,7.712,1.835,2,3.594,
20260725_143133,20260725,154.7,5.259,0.641,2,3.594,
20260725_143702,20260725,148.7,10.649,4.731,2,3.594,
20260725_144230,20260725,149.0,4.172,0.751,2,3.594,
20260725_144759,20260725,151.7,4.988,1.317,2,3.594,
20260725_145328,20260725,148.3,5.619,1.933,2,3.594,
20260725_145857,20260725,138.0,2.57,0.451,2,3.502,
20260725_150425,20260725,130.3,2.16,0.061,2,3.549,
20260725_150952,20260725,130.7,-19.027,-18.936,2,2.387,
20260725_151521,20260725,128.0,6.164,2.252,1,3.58,
20260725_152051,20260725,132.3,21.628,15.263,2,3.594,
20260725_152620,20260725,144.3,17.987,11.726,2,3.594,
20260725_153152,20260725,140.0,5.952,1.286,3,3.594,
20260725_153719,20260725,120.7,7.029,1.831,2,3.594,
20260725_154246,20260725,116.0,-1.124,-1.306,1,3.167,
20260725_154817,20260725,111.0,7.078,3.643,1,3.932,
20260725_155342,20260725,118.3,16.075,10.377,1,3.932,
20260725_155907,20260725,121.7,20.112,14.517,1,3.58,
20260725_160435,20260725,139.7,3.169,-0.741,1,3.58,
20260725_161000,20260725,122.3,-2.649,-3.011,2,3.157,
20260725_161525,20260725,119.3,5.374,-0.442,0,3.932,
20260725_162052,20260725,117.7,-8.345,-8.345,2,2.132,
20260725_162617,20260725,122.7,2.347,-0.324,2,2.901,
20260725_163142,20260725,126.0,-20.827,-21.493,2,2.539,
20260725_163709,20260725,133.7,4.709,1.878,1,3.733,
20260725_164234,20260725,137.7,16.196,10.566,2,3.594,
20260725_164759,20260725,136.7,22.425,17.752,1,3.932,
20260725_165327,20260725,140.0,7.404,2.447,1,3.58,
20260725_165852,20260725,138.3,1.171,-0.182,1,2.854,
20260725_170417,20260725,141.7,14.037,6.726,1,3.58,
20260725_170944,20260725,144.7,1.271,-0.941,2,3.313,
20260725_171510,20260725,125.0,10.539,5.683,2,3.594,
20260725_172035,20260725,113.3,11.077,6.338,2,3.594,
20260725_172645,20260725,120.0,2.166,0.294,1,3.932,
20260725_173210,20260725,127.0,3.235,0.688,1,3.49,
20260725_173737,20260725,132.7,9.866,4.837,1,3.932,
20260725_174304,20260725,123.0,26.878,22.718,1,3.932,
20260725_174829,20260725,124.3,20.107,14.343,1,3.58,
20260725_175354,20260725,136.7,9.154,3.698,2,3.594,
20260725_175922,20260725,131.3,28.74,23.602,1,3.932,
20260725_180447,20260725,126.0,40.468,36.026,1,3.932,
20260725_181013,20260725,138.3,10.578,4.47,1,3.58,
20260725_181540,20260725,129.0,30.12,25.498,2,3.594,
20260725_182105,20260725,131.3,-16.292,-16.302,1,2.387,
20260725_182630,20260725,137.0,18.417,12.338,1,3.932,
20260725_183158,20260725,134.0,14.035,8.419,1,3.932,
20260725_183723,20260725,138.3,17.615,11.537,2,3.594,
20260725_184253,20260725,135.7,19.273,13.38,1,3.932,
20260725_184821,20260725,136.0,10.154,5.097,1,3.932,
20260725_185346,20260725,131.0,0.932,-0.822,1,2.622,
20260725_185911,20260725,132.0,5.771,1.162,1,3.932,
20260725_190439,20260725,138.3,7.803,2.318,2,3.594,
20260725_191004,20260725,142.3,9.689,3.889,2,3.594,
20260725_191530,20260725,136.0,11.478,6.063,2,3.594,
20260725_192057,20260725,137.7,9.463,4.191,2,3.594,
20260725_192622,20260725,141.0,8.226,3.662,2,3.594,
20260725_193148,20260725,140.3,9.72,3.618,2,3.594,
20260725_193716,20260725,141.0,11.581,4.723,1,3.58,
20260725_194241,20260725,140.3,7.854,3.086,2,3.594,
20260725_194806,20260725,138.7,25.862,20.508,2,3.594,
20260725_195339,20260725,138.7,-28.119,-28.236,2,3.594,
20260725_195909,20260725,139.7,24.359,19.006,2,3.594,
20260725_200435,20260725,136.3,21.396,15.567,1,3.597,
20260725_201002,20260725,134.7,8.237,4.218,2,3.594,
20260725_201533,20260725,131.3,5.664,2.109,1,3.932,
20260725_202058,20260725,140.7,0.279,-1.375,1,2.439,
20260725_202708,20260725,141.0,9.539,4.256,2,3.594,
20260725_203238,20260725,142.7,9.935,5.318,2,3.594,
20260725_203804,20260725,148.0,7.174,1.999,2,3.594,
20260725_204331,20260725,154.0,3.726,0.873,2,3.594,
20260725_204857,20260725,160.3,4.002,1.504,3,3.594,
20260725_205422,20260725,162.7,-8.047,-8.241,3,2.638,
20260725_205949,20260725,160.3,10.169,4.298,2,3.594,
20260725_210516,20260725,155.0,1.476,-1.063,2,3.594,
20260725_211046,20260725,153.3,4.787,1.233,3,3.594,
20260725_211614,20260725,155.7,2.645,-0.048,2,3.196,
20260725_212140,20260725,154.7,5.934,2.099,2,3.594,
20260725_212705,20260725,153.0,4.023,0.487,2,3.594,
20260725_213232,20260725,152.0,4.868,0.736,2,3.594,
20260725_213757,20260725,154.3,6.012,1.228,2,3.594,
20260725_214323,20260725,153.3,5.418,0.902,2,3.594,
20260725_214851,20260725,154.7,4.874,0.931,2,3.594,
20260725_215416,20260725,154.3,5.189,1.259,2,3.594,
20260725_215942,20260725,154.7,4.529,0.969,2,3.594,
20260725_220510,20260725,154.0,4.66,1.537,2,3.594,
20260725_221035,20260725,157.0,4.437,0.857,2,3.594,
20260725_221600,20260725,157.3,4.288,0.421,3,3.594,
20260725_222127,20260725,158.0,4.187,0.136,3,3.562,
20260725_222653,20260725,160.7,3.798,-0.143,3,3.372,
20260725_223218,20260725,161.0,3.378,0.86,3,3.594,
20260725_223745,20260725,158.3,4.205,0.712,3,3.594,
20260725_224310,20260725,148.7,3.9,0.569,3,3.594,
20260725_224835,20260725,150.0,5.29,0.946,4,3.594,
20260725_225403,20260725,161.3,7.861,2.533,4,3.594,
20260725_225928,20260725,167.0,5.313,0.268,3,3.594,
20260725_230453,20260725,164.0,5.49,0.661,3,3.594,
20260725_231020,20260725,162.7,5.061,0.492,3,3.328,
20260725_231444,20260725,162.7,3.644,-0.068,4,3.472,
20260725_231728,20260725,163.0,5.086,0.882,3,3.516,
20260725_232013,20260725,164.7,4.996,0.53,3,3.535,
20260725_232257,20260725,164.7,4.499,0.014,4,3.2,
20260725_232541,20260725,165.7,3.454,0.487,4,2.823,
20260725_232825,20260725,166.3,4.131,-0.064,4,3.103,
20260725_233109,20260725,165.3,4.032,-0.074,4,2.809,
20260725_233354,20260725,166.0,4.022,-0.556,4,3.122,
20260725_233653,20260725,167.0,4.025,0.241,4,3.368,
20260725_233937,20260725,167.7,4.181,0.51,4,2.91,
20260725_234221,20260725,168.3,-5.692,-6.464,5,2.638,
20260725_234505,20260725,168.0,3.77,0.017,4,2.933,
20260725_234750,20260725,168.0,3.18,0.635,4,2.872,
20260725_235034,20260725,168.7,3.786,0.122,4,3.157,
20260725_235318,20260725,167.7,4.719,0.874,4,3.198,
20260725_235602,20260725,167.0,4.641,0.609,4,2.763,
20260725_235846,20260725,166.7,3.44,0.616,4,2.849,
20260726_000131,20260726,165.0,4.935,0.651,3,3.42,
20260726_000415,20260726,165.0,3.913,-0.03,3,3.231,
20260726_000659,20260726,165.0,4.963,0.362,3,3.429,
20260726_000944,20260726,164.0,5.305,0.771,3,3.472,
20260726_001228,20260726,163.0,4.493,0.589,3,3.405,
20260726_001512,20260726,161.3,4.539,0.538,3,2.933,
20260726_001757,20260726,160.0,4.5,0.561,3,3.317,
20260726_002041,20260726,156.3,3.647,-0.074,3,3.405,
20260726_002326,20260726,154.0,4.704,0.722,3,3.601,
20260726_002610,20260726,149.3,5.026,1.225,2,3.636,
20260726_002855,20260726,143.7,4.348,0.989,2,3.636,
20260726_003139,20260726,136.3,5.121,1.356,2,3.636,
20260726_003423,20260726,127.0,4.497,1.42,2,3.636,
20260726_003708,20260726,119.3,5.304,1.234,1,3.649,
20260726_004005,20260726,115.3,5.271,1.773,1,3.744,
20260726_004250,20260726,112.0,5.076,1.958,1,3.963,
20260726_004616,20260726,102.0,5.062,1.639,0,3.963,
20260726_004901,20260726,92.0,5.631,2.014,0,3.963,
20260726_005145,20260726,75.7,5.295,1.967,0,3.963,
20260726_005430,20260726,55.3,6.98,3.38,0,3.963,
20260726_005714,20260726,40.0,5.546,2.673,0,3.963,
20260726_005959,20260726,26.0,8.828,6.43,0,3.963,
20260726_010142,20260726,18.3,7.099,5.219,0,3.963,
20260726_010706,20260726,3.3,12.097,7.789,0,3.963,
20260726_011308,20260726,0.0,16.372,16.372,0,3.963,
20260726_011834,20260726,0.0,nan,nan,0,3.963,
20260726_012357,20260726,0.0,nan,nan,0,3.963,
20260726_012921,20260726,0.0,nan,nan,0,3.963,
20260726_013447,20260726,0.0,nan,nan,0,3.963,
20260726_091836,20260726,0.0,nan,nan,0,3.963,
20260726_092403,20260726,0.0,nan,nan,0,3.963,
20260726_092926,20260726,0.0,nan,nan,0,3.963,
20260726_093450,20260726,0.0,nan,nan,0,3.963,
20260726_094016,20260726,0.0,15.595,15.595,0,3.963,
20260726_094539,20260726,0.0,10.936,8.762,0,3.963,
20260726_095103,20260726,7.3,8.771,6.913,0,3.963,
20260726_095334,20260726,15.3,6.911,5.361,0,3.963,
20260726_095619,20260726,26.3,6.229,5.539,0,3.963,
20260726_095903,20260726,40.7,5.577,3.072,0,3.963,
20260726_100159,20260726,66.0,5.731,2.978,0,3.963,
20260726_100444,20260726,76.7,5.152,3.067,0,3.963,
20260726_100728,20260726,87.0,5.847,1.734,0,3.963,
20260726_101013,20260726,100.7,5.173,2.057,0,3.963,
20260726_101258,20260726,105.3,4.959,1.792,0,3.963,
20260726_101542,20260726,110.0,4.716,1.944,1,3.636,
20260726_101827,20260726,117.0,4.512,1.463,1,3.636,
20260726_102111,20260726,125.3,4.804,1.008,2,3.633,
20260726_102356,20260726,133.0,3.566,0.617,2,3.51,
20260726_102640,20260726,138.3,4.283,0.843,2,3.572,
20260726_102925,20260726,142.7,4.56,1.2,2,3.303,
20260726_103209,20260726,146.7,3.983,0.927,2,3.345,
20260726_103453,20260726,150.0,4.023,1.009,2,3.064,
20260726_103738,20260726,152.3,3.274,0.448,3,3.089,
20260726_104022,20260726,153.7,3.755,0.371,3,3.052,
20260726_104306,20260726,154.7,4.078,0.411,3,2.941,
20260726_104550,20260726,154.3,4.361,0.772,3,3.148,
20260726_104835,20260726,153.3,3.72,0.334,3,3.084,
20260726_105119,20260726,153.0,3.348,-0.017,3,3.045,
20260726_105418,20260726,154.3,4.52,0.754,3,2.811,
20260726_105703,20260726,155.3,4.308,0.349,3,2.964,
20260726_105947,20260726,154.3,4.29,0.518,3,2.875,
20260726_110231,20260726,155.0,3.554,0.834,4,2.562,
20260726_110515,20260726,153.0,4.022,0.616,4,2.562,
20260726_110759,20260726,153.3,4.515,0.84,3,2.825,
20260726_111044,20260726,153.0,2.758,0.804,3,2.764,
20260726_111328,20260726,156.0,7.055,2.315,2,3.636,
20260726_111612,20260726,156.7,13.157,7.108,2,3.636,
20260726_111857,20260726,157.7,18.189,11.811,2,3.636,
20260726_112141,20260726,156.0,4.722,1.247,3,3.636,
20260726_112425,20260726,154.0,2.501,0.523,3,2.74,
20260726_112710,20260726,151.7,1.984,0.281,4,2.25,
20260726_112954,20260726,151.3,3.433,0.956,4,2.562,
20260726_113238,20260726,153.0,3.618,0.397,4,2.675,
20260726_113522,20260726,152.7,6.015,2.019,4,2.562,
20260726_113807,20260726,152.3,-0.906,-0.894,3,2.223,
20260726_114108,20260726,153.0,5.028,1.212,3,3.004,
20260726_114637,20260726,153.3,6.524,1.312,3,3.503,
20260726_115202,20260726,156.3,3.331,0.644,3,2.866,
20260726_115728,20260726,157.3,5.368,1.251,3,3.636,
20260726_120256,20260726,158.0,4.265,0.31,3,3.134,
20260726_120822,20260726,159.0,3.106,1.011,3,2.989,
20260726_121348,20260726,159.3,4.609,0.599,3,3.204,
20260726_121915,20260726,158.3,4.148,0.207,3,2.864,
20260726_122442,20260726,157.7,4.234,0.506,3,3.239,
20260726_123007,20260726,155.3,4.046,0.894,3,3.418,
20260726_123536,20260726,156.0,3.95,0.634,3,3.324,
20260726_124102,20260726,156.0,3.944,0.48,3,3.345,
20260726_124628,20260726,157.3,4.162,0.984,3,3.23,
20260726_125156,20260726,156.0,4.174,1.025,3,3.294,
20260726_125723,20260726,157.0,3.681,0.174,3,3.276,
20260726_130249,20260726,157.3,4.192,0.381,3,3.366,
20260726_130818,20260726,157.7,4.07,0.742,2,3.534,
20260726_131345,20260726,158.0,4.154,0.616,2,3.382,
20260726_131911,20260726,157.3,3.985,1.522,2,3.604,
20260726_132439,20260726,158.3,4.537,1.135,2,3.418,
20260726_133006,20260726,157.7,4.466,1.237,2,3.186,
20260726_133533,20260726,159.0,4.029,1.155,2,3.251,
20260726_134102,20260726,154.3,4.706,0.9,2,3.577,
20260726_134628,20260726,155.7,4.702,0.935,2,3.636,
20260726_135154,20260726,154.7,4.465,0.865,2,3.226,
20260726_135722,20260726,155.3,4.143,0.952,2,3.521,
20260726_140248,20260726,156.0,4.082,1.081,2,3.528,
20260726_140818,20260726,154.7,3.97,1.334,2,3.558,
20260726_141348,20260726,155.7,4.259,1.633,2,3.636,
20260726_141916,20260726,158.0,4.076,1.077,2,3.543,
20260726_142445,20260726,157.3,-8.168,-8.166,2,1.97,
20260726_143058,20260726,157.7,7.029,2.373,2,3.636,
20260726_143626,20260726,149.3,6.615,2.206,2,3.636,
20260726_144154,20260726,150.7,4.161,0.622,2,3.304,
20260726_144723,20260726,152.0,4.593,1.362,2,3.636,
20260726_145252,20260726,151.3,5.566,1.617,2,3.636,
20260726_145818,20260726,154.0,-0.075,-0.736,2,2.662,
20260726_150348,20260726,147.3,3.175,0.514,2,3.636,
20260726_150916,20260726,150.3,8.762,3.896,2,3.636,
20260726_151444,20260726,153.0,16.055,9.972,2,3.636,
20260726_152012,20260726,146.7,-8.168,-8.165,2,2.424,
20260726_152540,20260726,147.3,-23.734,-23.742,2,2.099,
20260726_153106,20260726,142.3,3.505,0.961,2,3.584,
20260726_153634,20260726,139.3,-1.403,-1.482,2,1.752,
20260726_154202,20260726,142.7,5.371,1.903,2,3.578,
20260726_154727,20260726,129.7,18.095,13.028,2,3.636,
20260726_155255,20260726,141.7,5.476,1.272,2,3.636,
20260726_155820,20260726,141.7,10.434,5.483,2,3.636,
20260726_160345,20260726,143.3,5.275,1.69,1,3.636,
20260726_160913,20260726,141.0,-4.537,-4.518,2,2.005,
20260726_161443,20260726,142.0,4.372,0.721,2,3.551,
20260726_162008,20260726,143.7,4.085,0.891,1,3.636,
20260726_162536,20260726,142.0,10.682,5.102,2,3.636,
20260726_163101,20260726,140.3,-17.49,-17.49,2,2.642,
20260726_163626,20260726,138.3,6.868,2.274,1,3.728,
20260726_164154,20260726,132.0,4.049,0.526,1,3.572,
20260726_164719,20260726,135.3,4.564,1.181,1,3.636,
20260726_165244,20260726,139.0,-1.403,-2.414,1,1.96,
20260726_165812,20260726,133.0,-2.101,-2.633,2,1.726,
20260726_170337,20260726,136.7,12.226,6.74,2,3.636,
20260726_170902,20260726,135.7,-3.059,-3.235,2,1.874,
20260726_171430,20260726,140.3,-6.004,-6.0,2,2.642,
20260726_171955,20260726,138.3,-2.07,-2.724,2,2.721,
20260726_172604,20260726,138.0,4.466,0.885,1,3.636,
20260726_173132,20260726,137.7,3.0,-0.471,2,3.125,
20260726_173657,20260726,137.3,22.35,17.336,2,3.636,
20260726_174223,20260726,138.7,13.76,8.525,2,3.636,
20260726_174751,20260726,137.7,5.651,1.538,2,3.636,
20260726_175316,20260726,134.0,0.189,-1.324,2,2.805,
20260726_175842,20260726,132.0,4.774,0.683,0,3.763,
20260726_180414,20260726,130.0,-6.201,-6.219,0,2.091,
20260726_180940,20260726,132.3,-1.217,-1.387,2,1.982,
20260726_181505,20260726,141.0,10.411,5.162,2,3.636,
20260726_182034,20260726,137.7,3.726,0.936,2,3.636,
20260726_182559,20260726,135.0,11.777,6.269,2,3.636,
20260726_183124,20260726,135.0,8.228,3.783,2,3.636,
20260726_183651,20260726,131.3,6.355,2.38,2,3.636,
20260726_184217,20260726,130.0,7.29,2.605,2,3.636,
20260726_184742,20260726,128.7,2.569,0.566,2,2.933,
20260726_185310,20260726,127.7,5.69,1.827,1,3.636,
20260726_185835,20260726,132.0,5.066,1.788,1,3.636,
20260726_190400,20260726,142.0,8.212,2.925,2,3.636,
20260726_190928,20260726,149.7,6.538,1.757,2,3.636,
20260726_191454,20260726,149.7,-1.492,-1.722,2,2.438,
20260726_192020,20260726,143.3,7.966,2.813,2,3.636,
20260726_192547,20260726,144.0,-2.132,-2.524,2,2.423,
20260726_193113,20260726,147.3,4.433,1.235,2,3.626,
20260726_193638,20260726,152.7,8.392,3.49,2,3.636,
20260726_194206,20260726,152.3,7.728,2.735,2,3.636,
20260726_194731,20260726,155.7,6.361,1.499,2,3.636,
20260726_195256,20260726,166.3,6.873,2.479,2,3.636,
20260726_195824,20260726,170.7,11.875,6.383,2,3.636,
20260726_200349,20260726,165.7,0.961,0.448,2,2.723,
20260726_200915,20260726,162.7,-4.856,-4.857,2,2.424,
20260726_201447,20260726,156.0,12.432,6.873,2,3.636,
20260726_202012,20260726,160.3,2.711,0.391,2,2.585,
20260726_202621,20260726,151.7,7.544,3.771,2,3.636,
20260726_203148,20260726,143.7,-29.739,-29.739,2,2.642,
20260726_203713,20260726,135.3,-0.653,-1.528,2,2.135,
20260726_204239,20260726,131.7,11.271,5.692,2,3.636,
20260726_204806,20260726,123.0,-0.687,-1.067,2,2.425,
20260726_205332,20260726,113.7,-0.714,-0.708,2,2.763,
20260726_205857,20260726,118.7,13.94,10.607,1,3.963,
20260726_210425,20260726,125.7,6.907,3.346,1,3.636,
20260726_210951,20260726,124.7,2.62,0.755,0,3.272,
20260726_211517,20260726,115.7,4.275,0.965,0,3.636,
20260726_212044,20260726,114.0,5.365,2.584,0,3.963,
20260726_212609,20260726,112.7,1.386,-0.416,1,3.636,
20260726_213134,20260726,110.3,7.9,3.142,0,3.963,
20260726_213707,20260726,106.3,6.688,2.454,0,3.963,
20260726_214232,20260726,105.7,2.706,0.179,2,3.288,
20260726_214757,20260726,112.7,3.687,0.843,2,3.636,
20260726_215325,20260726,109.0,1.227,-0.081,2,3.636,
20260726_215850,20260726,128.0,7.54,3.068,2,3.636,
20260726_220416,20260726,127.0,-2.377,-2.392,2,1.969,
20260726_220943,20260726,134.3,5.507,2.145,2,3.636,
20260726_221509,20260726,135.3,-1.24,-1.793,2,2.414,
20260726_222034,20260726,145.0,5.079,0.975,2,3.636,
20260726_222602,20260726,160.0,5.3,1.755,2,3.636,
20260726_223128,20260726,164.0,3.818,1.03,2,3.636,
20260726_223654,20260726,162.0,3.348,1.664,2,2.849,
20260726_224222,20260726,160.3,2.866,1.168,2,2.814,
20260726_224747,20260726,161.0,9.756,4.311,2,3.636,
20260726_225312,20260726,159.7,2.68,1.18,2,2.723,
20260726_225840,20260726,162.3,1.837,0.514,2,2.799,
20260726_230405,20260726,159.7,12.546,6.907,2,3.636,
20260726_230930,20260726,158.0,10.493,5.028,2,3.636,
20260726_231425,20260726,156.7,4.898,0.984,2,3.636,
20260726_231709,20260726,156.7,-3.017,-3.171,5,2.424,
20260726_231953,20260726,160.3,7.326,1.844,3,3.636,
20260726_232238,20260726,163.0,6.256,1.596,2,3.636,
20260726_232537,20260726,163.7,-0.651,-1.596,2,2.438,
20260726_232822,20260726,166.0,18.397,12.662,2,3.636,
20260726_233106,20260726,164.0,24.979,19.779,2,3.636,
20260726_233350,20260726,160.7,5.506,1.31,3,3.636,
20260726_233635,20260726,160.0,4.385,1.384,2,3.045,
20260726_233919,20260726,158.0,5.013,1.845,2,3.636,
20260726_234203,20260726,154.0,-0.097,-1.176,2,2.922,
20260726_234448,20260726,151.0,4.714,1.28,2,3.636,
20260726_234732,20260726,149.7,6.2,1.473,2,3.636,
20260726_235016,20260726,149.0,3.638,0.052,2,3.38,
20260726_235301,20260726,150.3,10.014,3.899,3,3.636,
20260726_235545,20260726,153.3,5.023,1.175,4,2.562,
20260726_235829,20260726,158.7,5.134,0.474,4,2.562,
20260727_000114,20260727,161.0,5.063,0.94,1,3.565,
